,image_path,filename,class,group,tag,split,augmented,is_original,ref
0,Strawberry___healthy/,8f558908-aa1b-4a86-855a-5094c2392e5a___RS_HL 1973.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,0
1,Strawberry___healthy/,abdd34a0-ab02-41e0-95a3-a014ab863ec2___RS_HL 1757.JPG,Strawberry___healthy,Strawberry,healthy,train,False,True,2
2,Strawberry___healthy/,d1aee44a-b6bb-45b9-b7b6-5d553add8fd1___RS_HL 2163.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,3
3,Strawberry___healthy/,3d28c3ea-8419-4e09-addd-211e3828e39f___RS_HL 1942.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,4
4,Strawberry___healthy/,4005fb13-0d7c-4a30-9ee3-73e9e4cee05e___RS_HL 1688.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,5
5,Strawberry___healthy/,a5db3b2a-9806-45c1-b1f8-9d6f414222f2___RS_HL 2067.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,7
6,Strawberry___healthy/,c4eca43a-adf9-4d30-a990-8b177165fb04___RS_HL 4708.JPG,Strawberry___healthy,Strawberry,healthy,train,False,True,8
7,Strawberry___healthy/,33d585b6-736d-4767-9004-2444f4916fd9___RS_HL 4360.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,9
8,Strawberry___healthy/,aa47a5b4-789e-43ff-acd0-70bef9f8a365___RS_HL 4564.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,10
9,Strawberry___healthy/,03fe6806-ca61-46c1-8889-45e40228c168___RS_HL 4632.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,12
10,Strawberry___healthy/,7ba8b9d1-9f10-479c-901a-b038f042f0ce___RS_HL 4749.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,13
11,Strawberry___healthy/,f23cfb59-4e9d-43b0-820a-99d9cc624c04___RS_HL 4618.JPG,Strawberry___healthy,Strawberry,healthy,train,False,True,14
12,Strawberry___healthy/,a53942e6-2216-49a0-b09b-5d8a72bf7a39___RS_HL 4627.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,15
13,Strawberry___healthy/,1402ff6e-c678-4c37-b49b-b63374ac0557___RS_HL 1907.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,16
14,Strawberry___healthy/,968be429-8b72-401a-ba28-9552faf35e66___RS_HL 1921.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,17
15,Strawberry___healthy/,e178986b-223c-4da1-8c0f-2314de66df55___RS_HL 2042.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,18
16,Strawberry___healthy/,00e9a277-ca5e-4350-95ce-8b2918b69fb9___RS_HL 4667.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,19
17,Strawberry___healthy/,941b6567-8f4e-4092-a954-911fbde578d7___RS_HL 2040.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,20
18,Strawberry___healthy/,a386a7c2-9a92-4dd3-bffc-713d3a545b1f___RS_HL 1848.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,21
19,Strawberry___healthy/,4197c213-9bf6-4b26-aff1-77a73c45ae1a___RS_HL 2117.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,22
20,Strawberry___healthy/,675046ac-bf24-4ac4-ae18-0623ed00ec3f___RS_HL 4829.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,23
21,Strawberry___healthy/,0f79c593-bcf2-4a5b-baac-6433f3037a89___RS_HL 2022.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,24
22,Strawberry___healthy/,3aca733d-6d49-42d2-bcc2-fa288d126411___RS_HL 2223.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,25
23,Strawberry___healthy/,3b744062-8dff-416e-9349-3bae2aae5eaa___RS_HL 4345.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,26
24,Strawberry___healthy/,d7ba4287-1140-40e5-9c9b-d596dbab6198___RS_HL 4370.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,27
25,Strawberry___healthy/,47f2b614-506f-469d-a939-a081d056d3b5___RS_HL 1863.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,29
26,Strawberry___healthy/,a34f4043-6213-42b5-a837-b372ef04c959___RS_HL 4454.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,31
27,Strawberry___healthy/,f5c2a553-b9af-4141-a6ba-5a4af090db7d___RS_HL 2068.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,33
28,Strawberry___healthy/,15b3921b-acae-4865-b99e-f4fe81c84e7d___RS_HL 1724.JPG,Strawberry___healthy,Strawberry,healthy,train,False,True,34
29,Strawberry___healthy/,60fba47d-a79f-4653-b6a4-1adeeb2603c0___RS_HL 1871.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,35
30,Strawberry___healthy/,75d24cc5-b37f-42de-947f-dc7ee673674e___RS_HL 4571.JPG,Strawberry___healthy,Strawberry,healthy,train,False,True,36
31,Strawberry___healthy/,941d5f1c-8bb9-4027-88b6-3031f1787128___RS_HL 1987.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,37
32,Strawberry___healthy/,38292ca8-c7fe-4ba5-837f-c98c714ab099___RS_HL 4608.JPG,Strawberry___healthy,Strawberry,healthy,train,False,True,38
33,Strawberry___healthy/,1faaac0a-ea12-4085-af35-ab8b70bbf60a___RS_HL 4725.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,39
34,Strawberry___healthy/,56bce402-3d38-4f90-b20c-72886a47a072___RS_HL 1704.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,40
35,Strawberry___healthy/,30c218c0-6fb6-45d8-a645-43be89932d06___RS_HL 2005.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,41
36,Strawberry___healthy/,0de0d575-5dd7-4fca-b003-d4a13354c89d___RS_HL 4629.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,42
37,Strawberry___healthy/,80372fb3-2a02-4989-9396-6732cd47cb75___RS_HL 1623.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,46
38,Strawberry___healthy/,ce4aa9cf-c499-4ed5-bdfd-f7be230b3bfb___RS_HL 4523.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,47
39,Strawberry___healthy/,90ffc406-a0e7-4f94-98a9-3813e3ce6cc3___RS_HL 1898.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,48
40,Strawberry___healthy/,0370bc9b-c0c8-49b5-b999-c44323c45216___RS_HL 2202.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,49
41,Strawberry___healthy/,f799141e-8ab5-4924-b54a-2b374d22798a___RS_HL 4604.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,50
42,Strawberry___healthy/,f90cc425-5b46-4abd-b58a-11306f471542___RS_HL 4337.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,52
43,Strawberry___healthy/,5f13420e-16bb-4aa8-9869-051e0b937ec1___RS_HL 4543.JPG,Strawberry___healthy,Strawberry,healthy,train,False,True,53
44,Strawberry___healthy/,7cc70e2f-3727-428a-a414-02dd59f96ae3___RS_HL 4755.JPG,Strawberry___healthy,Strawberry,healthy,train,False,True,54
45,Strawberry___healthy/,58265359-4fa0-458c-9c5f-5774d94b3088___RS_HL 1737.JPG,Strawberry___healthy,Strawberry,healthy,train,False,True,55
46,Strawberry___healthy/,7e760452-b0a5-48b0-8fb8-8e8a4f84c4e1___RS_HL 4463.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,56
47,Strawberry___healthy/,8e5be35a-21e9-4031-83a7-26b09f0cae7a___RS_HL 4472.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,57
48,Strawberry___healthy/,16cb49b2-8d1b-4a66-95fa-9487aa0ba8f1___RS_HL 1665.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,58
49,Strawberry___healthy/,b938a735-b7a3-463d-b5b9-3bfd7041fe51___RS_HL 1844.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,59
50,Strawberry___healthy/,07a3dfc9-da98-42e3-a237-f5fa518d1f3b___RS_HL 1711.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,62
51,Strawberry___healthy/,2fbe071f-efd0-4a93-97b5-38160dafa0c5___RS_HL 2146.JPG,Strawberry___healthy,Strawberry,healthy,train,False,True,63
52,Strawberry___healthy/,8791c247-282a-44b9-a00e-ea9ac08ab3c5___RS_HL 1888.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,64
53,Strawberry___healthy/,89e133b4-9f70-4711-a14e-2535ae3a00ee___RS_HL 4792.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,66
54,Strawberry___healthy/,1a28038d-0e6d-4ac7-94d1-76d30fc89d71___RS_HL 2058.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,67
55,Strawberry___healthy/,2b349e9d-0131-444a-acda-9b4154073cb5___RS_HL 4507.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,68
56,Strawberry___healthy/,d13a70dd-9812-4b62-a8f4-3764a50abda3___RS_HL 1796.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,70
57,Strawberry___healthy/,72b9feaf-3439-483a-bb8a-83395c7a17cd___RS_HL 4782.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,71
58,Strawberry___healthy/,97af749a-c269-4ec5-92b1-6e7384dba46b___RS_HL 4344.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,72
59,Strawberry___healthy/,6c96f05e-d43d-4715-b634-df8dbc32c6d7___RS_HL 2125.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,73
60,Strawberry___healthy/,fad0fc0b-4619-422e-8c59-d5bab6469af4___RS_HL 4737.JPG,Strawberry___healthy,Strawberry,healthy,train,False,True,74
61,Strawberry___healthy/,72e7a6fb-c71a-437d-82f0-2032a43998c7___RS_HL 1702.JPG,Strawberry___healthy,Strawberry,healthy,train,False,True,76
62,Strawberry___healthy/,7673a7d4-c27f-44c5-96a8-c9f133878ba0___RS_HL 2240.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,77
63,Strawberry___healthy/,f58ee24e-67e0-4883-a6b9-9591634e535c___RS_HL 1949.JPG,Strawberry___healthy,Strawberry,healthy,train,True,True,78
